monster_name,monster_type,monster_subtype,monster_species,monster_amount,setting_terrain,setting_country_state,date_aired,danger
Black Knight,Possessed Object,Suit,Object,1,Urban,United States,1969-09-13,0
Ghost of Cptn. Cuttler,Ghost,Suit,Human,1,Coast,United States,1969-09-20,3
Phantom,Ghost,Phantom,Human,1,Island,United States,1969-09-27,0
Miner 49'er,Ancient,Miner,Human,1,Cave,California,1969-10-04,0
Indian Witch Doctor,Ancient,Witch Doctor,Human,1,Desert,United States,1969-10-11,1
Ghost of Elias Kingston,Ghost,Phantom,Human,1,Urban,United States,1969-10-18,0
Ape Man,Animal,Half-Human,Ape,1,Desert,United States,1969-10-25,0
Charlie the Robot,Mechanical,Humanoid,Robot,1,Urban,United States,1969-11-01,0
Puppet Master,Ghost,Pupeteer,Human,1,Urban,United States,1969-11-08,0
Ghost Clown,Ghost,Clown,Human,1,Forest,United States,1969-11-15,3
Werewolf,Animal,Werewolf,Human,1,Forest,United States,1969-11-22,1
Dracula,Undead,Vampire,Human,1,Forest,United States,1969-11-22,1
Frankenstein's Monster,Undead,Frankenstein's Monster,Human,1,Forest,United States,1969-11-22,1
Mummy of Ankha,Undead,Mummy,Human,1,Urban,United States,1969-11-29,1
Zombie,Undead,Zombie,Human,1,Swamp,United States,1969-12-06,1
Witch,Magician,Witch,Human,1,Swamp,United States,1969-12-06,1
Ghost of Redbeard,Ghost,Pirate,Human,1,Ocean,United States,1969-12-13,5
Spooky Space Kook,Extraterrestrial,Phantom,Alien,1,Rural,United States,1969-12-20,0
Green Ghost,Ghost,Phantom,Human,1,Island,United States,1970-01-10,2
Green Ghost,Ghost,Phantom,Human,1,Island,United States,1970-01-10,2
Snow Ghost,Ghost,Snow,Yeti,1,Snow,United States,1970-01-17,2
Ghost of Mr. Hyde,Ghost,Split-Personality,Human,1,Forest,United States,1970-09-12,1
Ghost of Zen Tuo,Ghost,Zombie,Human,1,Urban,California,1970-09-19,5
Scare Pair,Ghost,Zombie,Human,1,Urban,California,1970-09-19,5
Scare Pair,Ghost,Zombie,Human,1,Urban,California,1970-09-19,5
Caveman,Ancient,Caveman,Human,1,Urban,United States,1970-09-26,3
Creeper,Ghost,Phantom,Human,1,Rural,United States,1970-10-03,0
Headless Specter,Ghost,Headless,Human,1,Rural,United States,1970-10-10,0
Witch Doctor,Ancient,Witch Doctor,Human,1,Jungle,Hawaii,1970-10-17,0
Mano Tiki Tia,Possessed Object,Statue,Object,1,Jungle,Hawaii,1970-10-17,0
Werewolf,Animal,Werewolf,Human,1,Rural,United States,1970-10-24,3
Wax Phantom,Ghost,Statue,Human,1,Urban,United States,1970-10-31,5
Giant Bat,Animal,Bat,Bat,1,Desert,United States,1972-09-09,3
Geronimo,Ancient,Indian,Human,1,Desert,United States,1972-09-09,3
Hooded Man,Disguised,Hooded,Human,1,Rural,United States,1972-09-16,0
Skeletons,Skeleton,Humaniod,Human,1,Rural,United States,1972-09-16,0
The Vulture,Animal,Bird,Vulture,1,Forest,United States,1972-09-23,0
Scarecrow,Possessed Object,Scarecrow,Human,1,Rural,United States,1972-09-30,0
